ind	pop	pop_name
SRR22045777	1	Burundi
SRR22045780	1	Burundi
SRR22045781	1	Burundi
SRR22045782	1	Burundi
SRR22045783	1	Burundi
SRR22045784	1	Burundi
SRR22045767	2	China
SRR22045770	2	China
SRR22045771	2	China
SRR22045774	2	China
SRR22045706	3	Comoros
SRR22045707	3	Comoros
SRR22045712	3	Comoros
SRR22045713	3	Comoros
SRR22045714	3	Comoros
SRR22045720	3	Comoros
SRR22045732	3	Comoros
SRR22045797	3	Comoros
SRR22045806	3	Comoros
SRR22045809	3	Comoros
SRR22045811	3	Comoros
SRR22045812	3	Comoros
SRR22045815	3	Comoros
SRR22045817	3	Comoros
SRR22045818	3	Comoros
SRR22045823	3	Comoros
SRR22045824	3	Comoros
SRR22045830	3	Comoros
SRR22045854	3	Comoros
SRR22045889	3	Comoros
SRR22045907	4	India
SRR22045910	4	India
SRR22045911	4	India
SRR22045915	4	India
SRR22045916	4	India
SRR22045917	4	India
SRR22045919	4	India
SRR22045925	4	India
SRR22045927	4	India
SRR22045928	4	India
SRR22045929	4	India
SRR22045931	4	India
SRR22045932	4	India
SRR22045757	5	Kenya
SRR22045758	5	Kenya
SRR22045760	5	Kenya
SRR22045766	5	Kenya
SRR22045905	5	Kenya
SRR22045800	6	Madagascar
SRR22045803	6	Madagascar
SRR22045804	6	Madagascar
SRR22045838	6	Madagascar
SRR22045839	6	Madagascar
SRR22045844	6	Madagascar
SRR22045845	6	Madagascar
SRR22045849	6	Madagascar
SRR22045856	6	Madagascar
SRR22045857	6	Madagascar
SRR22045858	6	Madagascar
SRR22045859	6	Madagascar
SRR22045861	6	Madagascar
SRR22045862	6	Madagascar
SRR22045735	7	Malawi
SRR22045737	7	Malawi
SRR22045738	7	Malawi
SRR22045743	7	Malawi
SRR22045904	7	Malawi
SRR22045895	8	Malaysia
SRR22045896	8	Malaysia
SRR22045898	8	Malaysia
SRR22045901	8	Malaysia
SRR22045789	9	Mauritius
SRR22045791	9	Mauritius
SRR22045794	9	Mauritius
SRR22045795	9	Mauritius
SRR22045831	9	Mauritius
SRR22045704	10	Mayotte
SRR22045715	10	Mayotte
SRR22045752	10	Mayotte
SRR22045764	10	Mayotte
SRR22045776	10	Mayotte
SRR22045786	10	Mayotte
SRR22045852	10	Mayotte
SRR22045872	10	Mayotte
SRR22045729	11	Reunion
SRR22045873	11	Reunion
SRR22045877	11	Reunion
SRR22045878	11	Reunion
SRR22045880	11	Reunion
SRR22045900	11	Reunion
SRR22045745	12	SriLanka
SRR22045751	12	SriLanka
SRR22045754	12	SriLanka
SRR22045756	12	SriLanka
SRR22045882	13	Thailand
SRR22045883	13	Thailand
SRR22045885	13	Thailand
SRR22045887	13	Thailand
SRR22045888	13	Thailand
SRR22045891	13	Thailand
