ind	pop	pop_name	region	region_name	lat	long
HandHills_JRD315	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD540	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD541	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD542	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD543	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD544	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD545	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD546	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD547	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
HandHills_JRD548	1	HandHills	1	zel_RedDeerRiver	51.53452	-112.3661
WHE_JRD295	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD296	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD297	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD298	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD299	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD300	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD303	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD304	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD305	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD306	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD307	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD308	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD309	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD310	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD316	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD317	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD318	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD564	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD565	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD566	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD567	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
WHE_JRD568	3	WHE	1	zel_RedDeerRiver	51.25993	-112.45478
